date,temperature,humidity,luminosity
2022-11-17 15:41:27.143,24.9,39.5,155
2022-11-17 15:41:22.101,24.9,39.7,174
2022-11-17 15:41:17.058,24.9,39.8,173
2022-11-17 15:41:12.015,24.9,40.1,174
2022-11-17 15:41:06.971,25.0,40.2,173
2022-11-17 15:41:01.927,24.9,40.5,171
2022-11-17 15:40:56.883,24.9,40.8,170
2022-11-17 15:40:51.839,24.9,41.0,168
2022-11-17 15:40:46.795,25.0,41.2,170
2022-11-17 15:40:41.752,25.0,41.5,169
2022-11-17 15:40:36.708,25.0,41.6,170
2022-11-17 15:40:31.664,25.0,41.7,171
2022-11-17 15:40:26.620,25.0,41.9,172
2022-11-17 15:40:21.577,25.0,42.3,174
2022-11-17 15:40:16.533,25.0,43.0,173
2022-11-17 15:40:11.489,25.0,43.2,171
2022-11-17 15:40:06.446,24.9,43.5,170
2022-11-17 15:40:01.403,24.9,44.2,167
2022-11-17 15:39:56.359,25.0,44.0,172
2022-11-17 15:39:51.317,25.0,44.1,155
2022-11-17 15:39:46.273,25.0,44.3,159
2022-11-17 15:39:41.229,24.9,44.5,155
2022-11-17 15:39:36.186,25.0,44.1,161
2022-11-17 15:39:31.143,24.9,43.9,161
2022-11-17 15:39:26.100,24.9,43.7,160
2022-11-17 15:39:21.056,24.9,43.7,161
2022-11-17 15:39:16.013,24.9,43.0,159
2022-11-17 15:39:10.970,24.9,42.2,114
2022-11-17 15:39:05.927,24.9,42.7,168
2022-11-17 15:39:00.884,24.8,43.1,168
2022-11-17 15:38:55.840,24.9,42.5,163
2022-11-17 15:38:50.797,24.9,41.8,160
2022-11-17 15:38:45.753,24.9,41.5,157
2022-11-17 15:38:40.711,24.9,40.8,158
2022-11-17 15:38:35.668,24.9,39.3,153
2022-11-17 15:38:30.624,24.9,39.2,155
2022-11-17 15:38:25.580,24.9,39.3,162
2022-11-17 15:38:20.537,24.9,39.3,161
2022-11-17 15:38:15.494,24.9,39.3,99
2022-11-17 15:38:10.450,24.9,39.2,165
2022-11-17 15:38:05.407,24.8,39.3,155
2022-11-17 15:38:00.363,24.8,39.2,149
2022-11-17 15:37:55.320,24.9,39.2,175
2022-11-17 15:37:50.277,24.9,39.2,176
2022-11-17 15:32:47.877,24.8,39.2,173
2022-11-17 15:32:42.833,24.9,39.3,174
2022-11-17 15:32:37.791,24.8,39.0,147
2022-11-17 15:32:32.748,24.8,39.1,167
2022-11-17 15:32:27.705,24.9,39.2,169
2022-11-17 15:32:22.662,24.8,39.2,168
2022-11-17 15:32:17.619,24.8,39.2,158
2022-11-17 15:32:12.577,24.8,39.3,159
2022-11-17 15:32:07.533,24.8,39.4,159
2022-11-17 15:32:02.489,24.8,39.5,151
2022-11-17 15:31:57.447,24.8,39.5,153
2022-11-17 15:31:52.404,24.8,39.5,156
2022-11-17 15:31:47.361,24.8,39.5,166
2022-11-17 15:31:42.319,24.8,39.5,168
2022-11-17 15:31:37.275,24.8,39.6,170
2022-11-17 15:31:32.232,24.8,39.7,174
2022-11-17 15:31:27.188,24.8,39.8,175
2022-11-17 15:31:22.143,24.7,39.9,174
2022-11-17 15:31:17.101,24.8,40.1,166
2022-11-17 15:31:12.058,24.7,40.3,169
2022-11-17 15:31:07.015,24.8,40.7,176
2022-11-17 15:31:01.972,24.8,41.1,161
2022-11-17 15:30:56.929,24.8,41.5,161
2022-11-17 15:30:51.886,24.8,41.0,162
2022-11-17 15:30:46.843,24.8,41.0,156
2022-11-17 15:30:41.800,24.8,40.9,166
2022-11-17 15:30:36.757,24.8,40.8,170
2022-11-17 15:30:31.715,24.7,40.6,173
2022-11-17 15:30:26.672,24.8,40.9,158
2022-11-17 15:30:21.629,24.7,39.9,155
2022-11-17 15:30:16.586,24.7,39.7,160
2022-11-17 15:30:11.543,24.8,38.8,161
2022-11-17 15:30:06.500,24.8,38.8,150
2022-11-17 15:30:01.456,24.8,38.8,151
2022-11-17 15:29:56.413,24.8,38.6,152
2022-11-17 15:29:51.370,24.8,38.5,150
2022-11-17 15:29:46.327,24.8,38.7,151
2022-11-17 15:29:41.283,24.8,38.9,149
2022-11-17 15:29:36.239,24.8,38.9,149
2022-11-17 15:29:31.195,24.7,38.8,154
2022-11-17 15:29:26.152,24.8,39.0,149
2022-11-17 15:29:21.108,24.7,39.0,150
2022-11-17 15:29:16.064,24.7,39.0,144
2022-11-17 15:29:11.021,24.7,39.1,144
2022-11-17 15:29:05.977,24.7,39.1,133
2022-11-17 15:29:00.934,24.6,39.1,153
2022-11-17 15:28:55.892,24.6,39.3,165
2022-11-17 15:28:50.848,24.6,39.3,175
2022-11-17 15:28:45.804,24.6,39.2,174
2022-11-17 15:28:40.760,24.6,39.2,160
2022-11-17 15:28:35.717,24.6,39.0,159
2022-11-17 15:28:30.674,24.7,39.0,161
2022-11-17 15:28:25.631,24.6,38.8,158
2022-11-17 15:28:20.588,24.6,38.8,158
2022-11-17 15:28:15.544,24.6,38.7,162
2022-11-17 15:28:10.501,24.6,38.7,166
2022-11-17 15:28:05.459,24.6,38.9,139
2022-11-17 15:28:00.415,24.6,38.9,171
2022-11-17 15:27:55.372,24.6,38.9,166
2022-11-17 15:27:50.329,24.6,39.0,171
2022-11-17 15:27:45.286,24.6,39.1,166
2022-11-17 15:27:40.243,24.7,39.2,173
2022-11-17 15:27:35.199,24.6,39.3,173
2022-11-17 15:27:30.155,24.7,39.2,172
2022-11-17 15:27:25.112,24.6,39.2,171
2022-11-17 15:27:20.070,24.6,39.1,163
2022-11-17 15:27:15.026,24.6,39.3,164
2022-11-17 15:27:09.983,24.6,39.3,156
2022-11-17 15:27:04.939,24.6,39.3,153
2022-11-17 15:26:59.896,24.6,39.3,158
2022-11-17 15:26:54.854,24.6,39.4,155
2022-11-17 15:26:49.810,24.6,39.4,172
2022-11-17 15:26:44.767,24.6,39.4,172
2022-11-17 15:26:39.723,24.6,39.4,174
2022-11-17 15:26:34.680,24.6,39.4,175
2022-11-17 15:26:29.638,24.6,39.4,174
2022-11-17 15:26:24.594,24.6,39.3,173
2022-11-17 15:26:19.551,24.6,39.4,163
2022-11-17 15:26:14.508,24.6,39.4,162
2022-11-17 15:26:09.465,24.6,39.4,163
2022-11-17 15:26:04.422,24.6,39.4,164
2022-11-17 15:25:59.379,24.6,39.2,165
2022-11-17 15:25:54.336,24.6,39.3,160
2022-11-17 15:25:49.293,24.6,39.3,170
2022-11-17 15:25:44.248,24.6,39.3,179
2022-11-17 15:25:39.206,24.6,39.4,179
2022-11-17 15:25:34.163,24.6,39.4,181
2022-11-17 15:25:29.121,24.6,39.3,181
2022-11-17 15:25:24.078,24.6,39.3,179
2022-11-17 15:25:19.034,24.6,39.2,158
2022-11-17 15:25:13.991,24.6,39.2,166
2022-11-17 15:25:08.948,24.7,39.2,175
2022-11-17 15:25:03.906,24.6,39.2,181
2022-11-17 15:24:58.862,24.6,39.3,172
2022-11-17 15:24:53.819,24.6,39.2,170
2022-11-17 15:24:48.776,24.6,39.1,164
2022-11-17 15:24:43.733,24.6,39.1,165
2022-11-17 15:24:38.688,24.6,39.0,175
2022-11-17 15:24:33.646,24.6,39.0,174
2022-11-17 15:24:28.602,24.6,39.0,181
2022-11-17 15:24:23.558,24.6,39.2,181
2022-11-17 15:24:18.515,24.6,39.0,182
2022-11-17 15:24:13.472,24.6,39.2,181
2022-11-17 15:24:08.429,24.6,39.3,182
2022-11-17 15:24:03.385,24.6,39.0,175
2022-11-17 15:23:58.344,24.6,39.1,176
2022-11-17 15:23:53.300,24.6,39.2,183
2022-11-17 15:23:48.258,24.6,39.2,182
2022-11-17 15:23:43.214,24.6,39.1,181
2022-11-17 15:23:38.171,24.6,39.2,182
